# Time-averaged data for fix myat3
# TimeStep v_mydensity
103100 0.00648371
103200 0.00648881
103300 0.00649464
103400 0.00650116
103500 0.00650821
103600 0.00651573
103700 0.00652385
103800 0.00653259
103900 0.00654174
104000 0.00655119
104100 0.0065607
104200 0.00657012
104300 0.00657933
104400 0.00658841
104500 0.00659742
104600 0.00660638
104700 0.0066153
104800 0.00662418
104900 0.00663293
105000 0.00664165
105100 0.00665033
105200 0.00665905
105300 0.00666787
105400 0.00667692
105500 0.00668619
105600 0.00669543
105700 0.00670452
105800 0.00671352
105900 0.00672226
106000 0.00673056
106100 0.00673854
106200 0.00674637
106300 0.00675405
106400 0.00676165
106500 0.00676914
106600 0.00677648
106700 0.00678369
106800 0.00679074
106900 0.00679772
107000 0.00680454
107100 0.00681115
107200 0.00681792
107300 0.0068252
107400 0.00683295
107500 0.00684096
107600 0.00684921
107700 0.00685776
107800 0.00686665
107900 0.00687591
108000 0.00688556
108100 0.00689557
108200 0.00690565
108300 0.00691554
108400 0.00692511
108500 0.00693442
108600 0.00694361
108700 0.00695264
108800 0.0069616
108900 0.00697053
109000 0.0069796
109100 0.00698895
109200 0.00699876
109300 0.00700917
109400 0.00702006
109500 0.00703135
109600 0.00704303
109700 0.00705501
109800 0.00706732
109900 0.00708021
110000 0.00709379
110100 0.00710787
110200 0.00712196
110300 0.00713586
110400 0.00714955
110500 0.00716284
110600 0.00717564
110700 0.00718788
110800 0.00719924
110900 0.00720949
111000 0.00721861
111100 0.0072267
111200 0.00723403
111300 0.00724073
111400 0.00724702
111500 0.00725307
111600 0.00725881
111700 0.00726427
111800 0.00726942
111900 0.00727429
112000 0.00727907
112100 0.00728395
112200 0.00728877
112300 0.0072935
112400 0.00729807
112500 0.00730242
112600 0.00730625
112700 0.00730942
112800 0.00731225
112900 0.00731515
113000 0.00731813
113100 0.00732099
113200 0.0073237
113300 0.00732631
113400 0.00732896
113500 0.00733194
113600 0.00733536
113700 0.00733918
113800 0.00734363
113900 0.00734919
114000 0.00735592
114100 0.00736354
114200 0.00737183
114300 0.00738072
114400 0.0073902
114500 0.00740012
114600 0.0074101
114700 0.00741968
114800 0.00742847
114900 0.00743619
115000 0.00744278
115100 0.0074484
115200 0.00745324
115300 0.00745745
115400 0.00746123
115500 0.00746467
115600 0.00746801
115700 0.00747162
115800 0.0074758
115900 0.00748082
116000 0.00748675
116100 0.00749343
116200 0.00750062
116300 0.00750834
116400 0.00751661
116500 0.00752528
116600 0.0075342
116700 0.00754328
116800 0.00755233
116900 0.00756126
