# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
7050 1.01866 -0.964478 0.942265
7060 1.04466 -0.958681 0.981227
7070 1.01168 -0.952764 0.967752
7080 1.03605 -0.965063 0.923144
7090 1.03707 -0.966932 0.890907
7100 1.04264 -0.970597 0.886354
7110 1.01953 -0.97439 0.876673
7120 1.00284 -0.976411 0.863543
7130 0.979545 -0.972306 0.851453
7140 1.0232 -0.962666 0.920035
7150 1.02981 -0.95019 0.957526
7160 1.01451 -0.950612 0.942848
7170 0.997692 -0.963343 0.892297
7180 1.02926 -0.971786 0.886585
7190 1.02386 -0.979418 0.858666
7200 1.0348 -0.97201 0.868638
7210 1.02453 -0.97476 0.835214
7220 0.997381 -0.970813 0.834775
7230 0.977219 -0.978328 0.810573
7240 0.96278 -0.979773 0.805868
7250 0.977556 -0.980156 0.81083
7260 0.995016 -0.976534 0.83691
7270 1.0098 -0.980262 0.848201
7280 1.0173 -0.982779 0.860567
7290 1.02861 -0.971542 0.909186
7300 1.01431 -0.977198 0.888172
7310 0.973491 -0.953128 0.961755
7320 1.01352 -0.966762 0.92218
7330 0.998352 -0.962026 0.912537
7340 0.999532 -0.973424 0.884127
7350 0.996317 -0.988103 0.827762
7360 1.00583 -0.978679 0.881236
7370 0.995943 -0.961343 0.962755
7380 0.984707 -0.960504 0.961463
7390 0.996101 -0.976489 0.914895
7400 0.973396 -0.981937 0.889951
7410 0.975215 -0.978203 0.886983
7420 0.98421 -0.98906 0.823089
7430 0.999868 -0.993707 0.798985
7440 0.987641 -0.995896 0.793321
7450 1.00093 -0.987095 0.83973
7460 0.991452 -0.981651 0.834895
7470 1.00771 -0.962713 0.917924
7480 0.982681 -0.954561 0.929514
